uuid,city,image_number,relabeled_name,source_dataset_path,raw_snapshot_relpath,local_image_path,visual_complexity,inference_safety,inference_lively,inference_wealthy,inference_beautiful,inference_boring,inference_depressing,qscore_safety,qscore_safety_num_comparisons,qscore_lively,qscore_lively_num_comparisons,qscore_wealthy,qscore_wealthy_num_comparisons,qscore_beautiful,qscore_beautiful_num_comparisons,qscore_boring,qscore_boring_num_comparisons,qscore_depressing,qscore_depressing_num_comparisons
003543b8-c222-4638-8e46-0821f2ff8e13,San Francisco,318,Image_318,data/svi/San Francisco/003543b8-c222-4638-8e46-0821f2ff8e13.jpeg,svi/San Francisco/003543b8-c222-4638-8e46-0821f2ff8e13.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/San Francisco/003543b8-c222-4638-8e46-0821f2ff8e13.jpeg,1.8853290805319374,5.52,6.7,7.87,6.84,3.51,1.86,5.370282738703791,21,3.616528618615905,21,5.75198122337316,18,5.377247899047603,22,5.417108922814403,25,4.998781487352052,27
00a0bc44-f0eb-4762-ac67-0d7823d087c4,Amsterdam,344,Image_344,data/svi/Amsterdam/00a0bc44-f0eb-4762-ac67-0d7823d087c4.jpeg,svi/Amsterdam/00a0bc44-f0eb-4762-ac67-0d7823d087c4.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/Amsterdam/00a0bc44-f0eb-4762-ac67-0d7823d087c4.jpeg,2.142666976902973,3.92,8.32,5.04,4.34,5.94,6.51,4.9303953981802735,31,4.872647955910405,22,5.225340624451553,29,5.942160384547908,26,4.51986203292063,22,3.613575986396156,30
00b2eab5-0f30-4722-87f4-009824a9cace,San Francisco,296,Image_296,data/svi/San Francisco/00b2eab5-0f30-4722-87f4-009824a9cace.jpeg,svi/San Francisco/00b2eab5-0f30-4722-87f4-009824a9cace.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/San Francisco/00b2eab5-0f30-4722-87f4-009824a9cace.jpeg,1.8460754223414066,5.4,9.22,6.15,6.59,0.66,1.72,5.113473862935768,36,5.26561699433187,33,5.144598389083685,17,4.049099899880748,21,4.9368675947161735,32,4.537120673236826,20
00ca061c-f9fc-49cc-b06b-86d5dd6599ff,San Francisco,298,Image_298,data/svi/San Francisco/00ca061c-f9fc-49cc-b06b-86d5dd6599ff.jpeg,svi/San Francisco/00ca061c-f9fc-49cc-b06b-86d5dd6599ff.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/San Francisco/00ca061c-f9fc-49cc-b06b-86d5dd6599ff.jpeg,1.7959962186547815,2.79,6.59,4.19,5.92,0.67,1.15,3.9251928415699275,26,4.580139547527702,23,4.016645473038984,22,4.592673472287893,33,5.2391021053546405,34,4.9223334192781065,19
02bbf8e5-b3c5-48fa-9642-783b0a5f3c36,San Francisco,272,Image_272,data/svi/San Francisco/02bbf8e5-b3c5-48fa-9642-783b0a5f3c36.jpeg,svi/San Francisco/02bbf8e5-b3c5-48fa-9642-783b0a5f3c36.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/San Francisco/02bbf8e5-b3c5-48fa-9642-783b0a5f3c36.jpeg,1.96735656065374,7.94,9.28,4.36,3.4,1.08,4.08,4.41642195230622,25,4.514400242705558,27,4.6861855810155255,31,3.624408519460993,18,3.1556629259223072,19,3.8462175894233863,19
0324cf50-3b94-431d-aa43-6a027c8b1dda,Singapore,180,Image_180,data/svi/Singapore/0324cf50-3b94-431d-aa43-6a027c8b1dda.jpeg,svi/Singapore/0324cf50-3b94-431d-aa43-6a027c8b1dda.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/Singapore/0324cf50-3b94-431d-aa43-6a027c8b1dda.jpeg,2.150262705474343,1.89,8.19,6.77,8.48,4.67,5.57,5.470441679613136,18,4.5978021129463915,25,3.4553113440153345,22,5.155279687632629,22,4.66347293813461,24,5.229559676434676,21
03568504-ba68-4c20-84c3-895561492a4e,Amsterdam,339,Image_339,data/svi/Amsterdam/03568504-ba68-4c20-84c3-895561492a4e.jpeg,svi/Amsterdam/03568504-ba68-4c20-84c3-895561492a4e.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/Amsterdam/03568504-ba68-4c20-84c3-895561492a4e.jpeg,1.823313333584326,3.21,9.32,5.91,7.27,2.42,1.84,4.787174278004367,16,6.196558164161056,24,5.53017638946739,23,5.716025415002707,25,4.151641169371936,29,3.7653210913995228,25
037b7755-42d3-4f5d-9101-c6d61135c27e,Amsterdam,347,Image_347,data/svi/Amsterdam/037b7755-42d3-4f5d-9101-c6d61135c27e.jpeg,svi/Amsterdam/037b7755-42d3-4f5d-9101-c6d61135c27e.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/Amsterdam/037b7755-42d3-4f5d-9101-c6d61135c27e.jpeg,1.846491006777653,6.45,8.82,5.93,9.39,2.43,3.04,6.271609864388165,20,6.711375741496841,27,6.386419812451376,22,4.789365512603894,30,3.2979848818455504,27,4.4237344473277975,23
03953c0b-6b22-4a31-932a-f5001150321a,Amsterdam,354,Image_354,data/svi/Amsterdam/03953c0b-6b22-4a31-932a-f5001150321a.jpeg,svi/Amsterdam/03953c0b-6b22-4a31-932a-f5001150321a.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/Amsterdam/03953c0b-6b22-4a31-932a-f5001150321a.jpeg,1.790984317420481,3.91,8.64,8.22,7.47,4.44,2.36,6.216606669192876,16,6.5709456529556345,21,4.9791908759425,23,5.1389230232367495,30,2.8177002131707796,21,2.7518939474697564,24
03b2e966-dea1-49c1-8184-191e90650622,San Francisco,246,Image_246,data/svi/San Francisco/03b2e966-dea1-49c1-8184-191e90650622.jpeg,svi/San Francisco/03b2e966-dea1-49c1-8184-191e90650622.jpeg,/Users/admin/streetview-counterfactual/pretrain_human_perception_classifier_pp/data/raw/specs/svi/San Francisco/03b2e966-dea1-49c1-8184-191e90650622.jpeg,2.026048622040786,4.03,9.05,5.03,2.33,1.36,3.21,4.080595634445196,19,4.339596585837847,28,4.723619751255396,29,4.591197906161039,19,4.871015923647503,19,5.6660660640828455,30
