uuid,view_direction
0957e928-b574-411a-900a-2b314400350c,side
4b4d67a0-762e-454e-95b4-ae59d5141af1,side
be9438a8-e31a-4cd7-a1ee-5d0e6be503eb,side
f5a2c4ee-e309-4498-820b-2483214aea30,side
4a9096cb-96f8-448f-90d4-cc33042a7b96,side
f6a31199-b3d2-4eb4-bdc3-c3258fe4dd39,side
4dc26489-64db-4002-9c5c-aef3bf34b04c,side
9205a212-13f0-4e9e-9a2f-61454aa7f419,side
f2ef4bba-2afd-444d-945f-cc6cab094c67,side
4e89d815-290f-4e13-af97-5a06148e5abf,side
91bb7318-6177-42f9-9d62-befd99ee74df,side
2095d7b9-dea7-4064-ab19-fd2915abb97c,side
ee47941d-e083-4c6d-aec9-5d8b9b53a812,side
05ccedec-0a17-4698-af29-7a9f073de8c4,side
f3c92294-d334-44c7-a9e1-9b8869484423,side
0fe98505-6264-4f41-acc4-6d9000f86ec9,side
07714585-b4a2-4385-b630-babf648b054d,side
6c797e52-932a-4ad0-9cd4-af10200ffdd5,side
cd7e4582-3c52-49bc-93e2-4358c05efafb,side
e1bc3beb-a78f-4320-bdf8-12993505017f,side
2964b4b2-750f-4645-8252-78e10f0f8d2c,side
10097dd0-aa37-47af-83b1-4c60abfbf03f,side
9ae04811-d66f-4023-9b7e-9fd90cb2ac5f,side
49cd056a-0d35-4189-bc95-4844872b8253,side
f4ab2927-5b74-494c-8fca-7391d5d93fb8,side
feaf697c-de8a-404c-8cd2-89842ff3aa1d,side
90e5c7a0-750c-4dbf-b643-f5d956c006bf,side
ab6ff5c1-d785-45d8-af5b-b7dccc4c73d5,side
7262a0ae-7460-4968-9f11-640b084d24ff,side
086f66bc-7159-48b8-bf54-bac85db1ee48,front/back
b0f8abc9-dc32-44e9-8d14-e8103dc56ef2,side
6de5381a-d48f-4e3d-972e-b6fc1226ac5b,side
14b5892f-e036-4b9e-9c28-902f1b4c28aa,side
8a93d55a-82b4-4ec7-90ba-9b397b88a955,side
e7a31a3d-9620-4aaf-9dcb-9863f475b75c,side
d9f9e78b-3e91-4a1f-8f94-82254fbb1c52,side
7bc1fb1d-28c3-45ef-b0d4-aad22d223b21,side
4e1b5be4-7444-418e-9362-f9250461fea5,side
5efa89ee-56de-48e9-8d51-42430808544b,side
b095faea-2694-4b97-8d08-73dcde9e54cf,side
61424451-9bbc-4eeb-be5c-be9ebd144075,side
186cb373-9fab-4fdd-855e-e989efada871,side
4794b154-f85a-47e7-971a-37351e65e796,side
cfc993dc-4563-4c4f-aad7-92fa4b018406,side
684dc561-7633-495a-aa70-c8e6907a6b50,side
2d775d0d-104b-4008-8527-2052980ca765,side
d051d309-633a-47c9-9ef7-f1b94cf63a20,side
f5b0ac44-118a-4120-9f3e-9b06f48bd7db,side
a4c3a072-124d-41b8-9e43-48e047be35a3,side
01a8512f-693d-4db5-bca4-0ed143b12812,side
81358bd5-b2bd-4493-a2a5-b252a1716c7a,side
b1c01042-28e7-4961-b3aa-83f0397b06c9,side
03e6b0d2-c9ee-4b9c-b943-2b6543e4a69a,side
b8e0f95f-f0b4-4e7c-a2dd-95e2395213e6,side
725c8d06-1f08-47ca-b94a-4b7284b33a94,side
d3e78e19-7849-4cae-8548-06b6ce51a86a,side
310d0884-6f9d-40a6-a47b-ba9e4ee725a3,side
7b81416b-6381-482b-a1f6-07bf018ce199,side
98f132ad-49e3-4d05-adfb-4cfc77bc1012,side
4481e006-ba5b-4cf7-b117-2e915e52e508,side
4fd29041-4bde-4b39-bc9f-88ccf69c5744,side
edc4901a-1cc0-4cae-896c-287b791d9313,side
0237e6c9-ac7f-40f0-ac7a-b35e96f2d3eb,side
42b11d12-f31f-4f81-bb40-a3a05c46f41c,side
85df495e-8ca4-445f-8a14-ee95d70b2dc6,side
ab9b1c84-e362-479d-97a1-21cebadb896a,side
0007cb81-41f0-45db-a8b2-e72fd4dbef4e,side
2d4e0f95-b032-41af-956e-1bea50ac8542,side
71aa6b03-5a0a-4423-b67d-1ae77cc6c07a,side
d749b9c7-cf23-40a6-ba4e-2aae1d3ade80,side
c595bfa6-efb0-405e-a556-d88d1120af7e,side
8204f7f3-4fc6-40a6-b59e-8bf30c4aad07,front/back
d9555408-cbb1-4dde-84de-e897edb4eb04,side
e832ceae-fee6-43b4-b2df-fcfaf8344fff,side
9891f8a7-a1c9-4877-b000-78c1c43ba612,side
87f39a91-e2db-4c3b-a633-7cecfd7b446a,side
eae51bac-5aa2-42a3-a879-583c34537335,front/back
133b51fc-d150-40a0-91db-093ba3a61701,side
55420b4a-ea2a-4b68-92ac-eb9d24bcfb81,side
c07aba6d-fe9c-4fd3-b3a5-3d9692a5dfe0,side
67f87c1f-01f2-459e-9c4f-c614adcd16b2,side
f4a68069-188b-4c52-aecc-0201ca5aa7ed,side
ffdca73a-14ae-47f5-8a3c-736838447894,side
32dd6924-626f-4376-8162-95a8843ca507,side
ff1449e2-dcc2-4cd3-b184-b5c88ca8cc2d,side
9f987597-b52a-4e2b-81a8-107188a6793d,side
6d88ed37-03fb-4f15-9b48-22899eb5f243,side
fffd6194-ca90-4f63-ba76-76916f0ad601,side
28b5b349-3749-44bf-8bfc-dba056801e86,side
d7426989-15bf-49d3-ad33-5ab21843758c,side
956f8262-3ef5-4ed2-8023-8fc733f2ff34,side
6d3d41f3-532c-40b6-a3c2-f872cb1c34f0,side
2a367edc-583f-4e84-b16e-383c9b162bf1,side
f9d967fd-d26d-4f22-be4c-999e2acc0f2d,side
9e9c691f-98ee-4e27-98e8-d1de225e58f5,side
11f9b2dc-8448-4d2b-be91-ccd3275d9a23,side
3bf5b090-4dbc-4608-a7ee-9404b5f4a7fd,side
6f87b968-db36-458e-b742-992a312fcf62,side
0d5a500a-0fef-403b-926f-f1f082c6a03b,side
6ad8514e-9275-4319-bd62-41a3dbda05e5,side
fa91a2da-4e6c-4157-a2b7-5c97c28d44a1,side
23f7bd05-91b6-4f66-a778-07d89f8c4acd,side
9364fbf0-15fd-4bf1-a0db-2f6ebb12e5ef,side
a44a290d-d3a2-469a-8996-f41206bb03c7,side
7c8be217-34ba-4201-87ae-419b7dc2eed9,side
7c320be0-6646-496d-be4b-83a1637c2220,side
5b37dfa6-7f6f-457c-b2f4-78a2d332d9ca,side
be7077b3-6c3a-421b-9394-844411aeb842,front/back
b15606e7-26d6-42a8-ac99-786ae327e27a,side
05e00699-1e54-4709-ac0e-178e7039ffa7,side
65876e8d-c3ab-4dcf-9106-2a69ba3bd74a,side
9ee41cf8-5fbd-4459-873c-6ceb0d891541,side
9aeb7d85-3b1b-48f6-899c-dc530873180d,side
e20f89e8-8187-4ad5-863b-a0e54ca06527,side
d4a9318c-3d46-438d-b771-d59e78088e13,side
09195bb8-c736-4184-8d04-0cebc6b692d0,side
116d366e-dcbc-49d2-b9d1-93715612ad03,front/back
a618983a-42d6-4a7f-8070-36ec6b785b5b,side
f0858dfd-deb1-4878-9237-dc4f5f2fe734,side
46db8260-0609-48ca-a67b-8b4b504dddb8,side
56f06968-f224-467a-81a9-e0343c392945,side
