uuid,depressing
dc6eee81-9513-4edb-813b-05b83b5127be,6.67
50811b7a-5b0f-4581-92fa-017e6ff26ba0,2.03
35c8af9e-5e36-4810-9824-59b9b273fbcf,8.5
3a439403-305b-4be7-ba43-f8ff8e75c31c,4.85
3cc24150-c590-4d83-883c-44855010e338,2.58
f971b7ef-84b4-4994-ad26-9f7ca8987714,6.41
17b4512c-938d-4fdc-9287-852c0f424227,3.9
a0e10305-43e2-4613-bdc5-bb4c94e19c49,2.45
91e84ba7-e5a1-4f65-8db3-f5fa193e6aad,1.09
c15e0899-f6bd-4257-81ae-0a66de564a44,3.71
37e65fa3-ce35-4bc7-a8e5-5f62ca26579c,3.08
713af83a-5e66-427e-b720-4c13161b4d3d,4.49
7dbb1221-6600-4e53-9443-8f5ee01b288c,1.58
8888232a-f22d-4103-9216-37dc134ebd4e,8.34
df2b7000-a235-41f9-979a-8bf5aad6267d,2.89
6fb161b6-f421-41fc-89f8-37557cf781b6,4.79
568bc87e-48d2-4c39-b6e8-5733810fd1bd,5.33
9896cfe3-96ec-45df-b5d1-bf5b2e69e48c,3.06
926adf13-36ad-4937-9293-6d4d376db1fd,7.37
6a180f36-d93a-40ee-ab61-7ba77c506f5c,3.83
1922369b-2f31-4351-8a6a-2ea1a569bac1,6.59
4ab76638-8609-4171-88d3-21d91c48a518,4.88
5405822e-4b70-4880-ac59-c0da3cd06d7c,2.95
38c0d0bf-6855-417d-8467-31197f33e6cc,6.22
44fb3166-93d7-4606-89d4-3fb8e2b50e8d,4.54
de8c3da5-d94e-46c7-8445-8753f9f6cc56,3.94
76f71931-ea72-4f6e-9452-5b94377354e0,4.86
3ac85ae6-0f5f-4b14-bdc1-8b45601c0ca9,3.56
a9f776ba-8a02-4beb-9fa6-c14f6787a4ed,5.98
61f3dc30-c69e-4d6f-b56f-c357e089649a,3.79
9070f645-bc03-406f-86b1-ae2c1583aa15,1.09
40fdc299-465c-436c-8333-04c228cbe59e,1.08
29ff55d5-e050-48e8-85d4-c28307deb7cf,2.46
eeb9deb6-dd46-4b10-8724-591020c5b9dd,6.83
9514344a-50e8-4e38-b2fa-c3b3583f7ba0,6.2
8f227932-e7c9-480c-8bd6-4843b689bd4b,3.77
7a334813-1ec5-493f-9b5f-c559d7f837c3,6.27
64b6b25b-ca89-4234-8def-37e91184b19c,4.27
e2e0491e-7525-4943-a653-957294798b88,6.03
10186507-898c-4e75-8535-f9881d4a6c6d,3.12
a872d1c2-b28a-4b3c-9a43-7d2cbe69ab33,5.84
074a82c6-a5c6-4b1b-9550-e8737a688907,5.26
b2dc959b-a571-41b5-82ee-5977810c0692,6.59
2137f518-7738-4109-bab5-ccfc88bd74d6,8.62
11afd5fb-986b-4919-97d6-e13795916ad7,2.12
ec6fc1a6-f541-478a-896c-d17149058a0d,1.96
25831145-3452-4f7a-bdd0-af5b0f3dd50f,2.8
