uuid,wealthy
dc6eee81-9513-4edb-813b-05b83b5127be,5.12
50811b7a-5b0f-4581-92fa-017e6ff26ba0,8.57
35c8af9e-5e36-4810-9824-59b9b273fbcf,1.15
3a439403-305b-4be7-ba43-f8ff8e75c31c,4.13
3cc24150-c590-4d83-883c-44855010e338,7.42
f971b7ef-84b4-4994-ad26-9f7ca8987714,4.25
17b4512c-938d-4fdc-9287-852c0f424227,6.0
a0e10305-43e2-4613-bdc5-bb4c94e19c49,2.49
91e84ba7-e5a1-4f65-8db3-f5fa193e6aad,6.62
c15e0899-f6bd-4257-81ae-0a66de564a44,8.39
37e65fa3-ce35-4bc7-a8e5-5f62ca26579c,5.75
713af83a-5e66-427e-b720-4c13161b4d3d,7.28
7dbb1221-6600-4e53-9443-8f5ee01b288c,1.75
8888232a-f22d-4103-9216-37dc134ebd4e,4.19
df2b7000-a235-41f9-979a-8bf5aad6267d,5.85
6fb161b6-f421-41fc-89f8-37557cf781b6,1.61
568bc87e-48d2-4c39-b6e8-5733810fd1bd,5.52
9896cfe3-96ec-45df-b5d1-bf5b2e69e48c,0.81
926adf13-36ad-4937-9293-6d4d376db1fd,3.64
6a180f36-d93a-40ee-ab61-7ba77c506f5c,1.77
1922369b-2f31-4351-8a6a-2ea1a569bac1,5.09
4ab76638-8609-4171-88d3-21d91c48a518,2.91
5405822e-4b70-4880-ac59-c0da3cd06d7c,5.91
38c0d0bf-6855-417d-8467-31197f33e6cc,8.12
44fb3166-93d7-4606-89d4-3fb8e2b50e8d,2.34
de8c3da5-d94e-46c7-8445-8753f9f6cc56,6.66
76f71931-ea72-4f6e-9452-5b94377354e0,2.62
3ac85ae6-0f5f-4b14-bdc1-8b45601c0ca9,5.09
a9f776ba-8a02-4beb-9fa6-c14f6787a4ed,3.98
61f3dc30-c69e-4d6f-b56f-c357e089649a,7.92
9070f645-bc03-406f-86b1-ae2c1583aa15,5.67
40fdc299-465c-436c-8333-04c228cbe59e,6.49
29ff55d5-e050-48e8-85d4-c28307deb7cf,8.79
eeb9deb6-dd46-4b10-8724-591020c5b9dd,2.23
9514344a-50e8-4e38-b2fa-c3b3583f7ba0,2.83
8f227932-e7c9-480c-8bd6-4843b689bd4b,5.99
7a334813-1ec5-493f-9b5f-c559d7f837c3,4.0
64b6b25b-ca89-4234-8def-37e91184b19c,5.17
e2e0491e-7525-4943-a653-957294798b88,1.3
10186507-898c-4e75-8535-f9881d4a6c6d,6.28
a872d1c2-b28a-4b3c-9a43-7d2cbe69ab33,6.96
074a82c6-a5c6-4b1b-9550-e8737a688907,1.18
b2dc959b-a571-41b5-82ee-5977810c0692,2.24
2137f518-7738-4109-bab5-ccfc88bd74d6,3.72
11afd5fb-986b-4919-97d6-e13795916ad7,4.16
ec6fc1a6-f541-478a-896c-d17149058a0d,7.44
25831145-3452-4f7a-bdd0-af5b0f3dd50f,8.27
2dca8d50-9443-413e-a00e-7a7abbe4e004,6.26
5b0150be-8a08-4e0a-9b18-b29b4bd1e87d,6.06
a9403067-5294-40f2-8484-5f75eed08da6,0.56
72a7f72f-1556-4c96-8b8a-a09aee5b8e71,2.94
b21b9ee2-aebb-4b7b-b74b-5fe91872cb2d,2.95
1f6364c4-4e27-4a99-b719-6b20b3bdef7f,0.62
83bb9a7c-7107-475c-abf7-b4c98dba2674,3.06
280d39ac-d0fb-4769-b466-74f2bc3933de,8.79
367d9778-1ec0-4dff-8afc-fc9358a1f4e3,6.47
ad2dc199-8c72-4f26-8da5-3634cefd21fd,8.99
fb367af6-0df9-460e-a54c-e191a2cad6a5,4.91
8f607dd9-bf04-4a35-8327-f3401d43be39,1.35
8bbb0da2-e02a-4963-87af-06d69d35a902,3.11
b6c6f645-350f-443a-a82f-0a2e110cb864,8.03
5d41fe47-bcf6-4b11-a303-44127aac916c,4.9
f06a1d61-02f9-4f38-b0de-0247864849a3,4.43
1c1b57b6-8c74-4b77-86cb-97d875573375,7.36
1fd6a79a-b868-4e7a-97ff-b02043a3b84e,2.01
7395eb83-d655-4456-8a38-a24ef516c608,2.53
71d7b87c-22b1-4dc9-8e98-e8b5a321ed9a,4.9
0a232f42-4b27-4c34-84b9-5212a4be9fac,2.8
87eafe22-c709-4509-9d80-9a3abd97887f,1.44
3b79fbea-bf96-435d-9606-2d3fb67514d2,6.52
df7549d9-e7c2-4ffc-81c6-c261ddeca014,3.1
d1593775-7d10-4002-82cd-69ae780f8e85,2.41
bab878f1-652c-4ad4-b86f-46a8a2442e55,5.4
eba4da21-0dcc-4e1c-9b7e-8e0686f1b25f,1.34
07472244-642d-4ca9-9bf5-617ef9e0b144,3.43
c22a3b13-efb7-45a7-ba13-bd7fbeb0d441,7.48
7dd59105-1c55-43e8-92b6-f7afcc85540b,7.08
