country,age_group_2,Image,Question,Score,Num_comparisons
All,40+,203,safe,5.404485884485885,11
All,40+,305,safe,5.732943753777087,15
All,40+,276,safe,4.356650172439647,21
All,40+,45,safe,4.544278252611586,20
All,40+,380,safe,5.96314588213453,21
All,40+,277,safe,3.931623931623932,9
All,40+,262,safe,4.745073281837988,11
All,40+,278,safe,4.708211500974659,9
All,40+,69,safe,4.617967870909047,21
All,40+,83,safe,4.120022277917015,14
All,40+,11,safe,3.911477411477412,19
All,40+,85,safe,3.7060185185185186,20
All,40+,328,safe,5.804605979818828,15
All,40+,340,safe,5.998219090701255,22
All,40+,223,safe,5.29229935952625,18
All,40+,120,safe,4.6486803988351975,18
All,40+,169,safe,5.36701860231272,18
All,40+,58,safe,4.0074354657688,16
All,40+,42,safe,3.5424419634945954,9
All,40+,381,safe,4.9434092477570735,15
All,40+,64,safe,3.7760855129276183,21
All,40+,150,safe,6.716832932003211,6
All,40+,80,safe,5.440129363813575,15
All,40+,13,safe,3.9650248988484282,14
All,40+,207,safe,6.137566137566138,9
All,40+,237,safe,2.620314992025518,16
All,40+,176,safe,4.106882904677022,16
All,40+,67,safe,4.498471638822516,11
All,40+,217,safe,4.89840315820708,13
All,40+,35,safe,3.875272331154684,24
All,40+,161,safe,4.923422749053001,17
All,40+,348,safe,4.528997563937857,19
All,40+,307,safe,4.036996715015291,6
All,40+,73,safe,4.945652157726461,14
All,40+,164,safe,4.862053795877325,13
All,40+,100,safe,4.410277193798497,18
All,40+,16,safe,3.491138101664417,13
All,40+,219,safe,3.882275132275132,14
All,40+,332,safe,5.854678995343957,13
All,40+,44,safe,5.324074074074074,9
All,40+,72,safe,4.855016080506277,9
All,40+,308,safe,4.250781160417384,16
All,40+,94,safe,5.317867269183059,10
All,40+,206,safe,5.299715716382383,13
All,40+,5,safe,4.7572602716436565,18
All,40+,319,safe,4.3844797178130515,18
All,40+,326,safe,3.330102126320614,14
All,40+,119,safe,3.6175235794801015,16
All,40+,331,safe,5.53073168661404,20
All,40+,286,safe,4.053117205755936,24
All,40+,302,safe,5.262487816764132,15
All,40+,241,safe,6.1138587660326795,11
All,40+,337,safe,5.6012614334982755,15
All,40+,300,safe,5.442460317460317,8
All,40+,10,safe,4.793451294147889,21
All,40+,114,safe,5.078262786596119,9
All,40+,76,safe,4.404230954230955,20
All,40+,185,safe,4.419355011460275,14
All,40+,4,safe,4.473758398337002,27
All,40+,124,safe,5.010681519620308,24
All,40+,78,safe,4.754814118629908,16
All,40+,312,safe,5.107864357864358,16
All,40+,293,safe,3.7994227994228,11
All,40+,252,safe,5.031265031265032,16
All,40+,208,safe,4.559460147695442,11
All,40+,125,safe,4.706518971224853,17
All,40+,159,safe,3.949540043290044,13
All,40+,38,safe,4.460430410185312,16
All,40+,178,safe,4.1859941722260565,15
All,40+,82,safe,3.913398692810457,12
All,40+,52,safe,3.5446414610501296,9
All,40+,235,safe,3.753048145904688,19
All,40+,212,safe,5.167014759120023,15
All,40+,301,safe,4.855152515756231,18
All,40+,111,safe,2.7776412184306927,19
All,40+,48,safe,6.743827160493827,12
All,40+,201,safe,5.560224089635854,9
All,40+,194,safe,3.7434640522875817,17
All,40+,93,safe,4.7829485329485335,12
All,40+,363,safe,6.464951197870453,15
All,40+,317,safe,3.8401815575728624,23
All,40+,210,safe,4.071428571428572,5
All,40+,370,safe,5.250166500166501,13
All,40+,247,safe,4.713165266106443,17
All,40+,342,safe,5.046403888509151,11
All,40+,118,safe,3.960178223336118,14
All,40+,313,safe,4.708574659467517,20
All,40+,21,safe,3.6643112410656276,16
All,40+,243,safe,5.360623781676414,12
All,40+,378,safe,4.51929551929552,13
All,40+,55,safe,4.98181216931217,15
All,40+,238,safe,4.470334059549747,9
All,40+,142,safe,3.1030199958771387,20
All,40+,392,safe,5.395387915931924,16
All,40+,196,safe,4.0811546840958615,12
All,40+,60,safe,3.5005411255411256,14
All,40+,103,safe,4.364612511671335,15
All,40+,232,safe,5.8746693121693125,14
All,40+,77,safe,5.189008295625943,16
All,40+,134,safe,4.270384294068505,21
All,40+,95,safe,3.599798893916541,17
All,40+,54,safe,1.6816059757236228,7
All,40+,200,safe,6.086473760157971,11
All,40+,215,safe,5.100455410023488,11
All,40+,344,safe,4.711955808408898,23
All,40+,299,safe,2.2103713280183874,17
All,40+,68,safe,4.963540544422898,18
All,40+,84,safe,6.291837021003688,14
All,40+,90,safe,5.020830680757151,15
All,40+,371,safe,5.679474483396052,11
All,40+,30,safe,3.232804232804233,10
All,40+,105,safe,3.3247863247863245,13
All,40+,63,safe,4.484118142206377,18
All,40+,336,safe,4.630751964085297,18
All,40+,214,safe,4.797679364182451,20
All,40+,309,safe,4.395991611269389,15
All,40+,170,safe,4.399142653012622,13
All,40+,104,safe,3.5080572735371502,16
All,40+,131,safe,6.286832040508512,17
All,40+,37,safe,4.397727272727273,16
All,40+,17,safe,4.152033405954975,20
All,40+,171,safe,4.707163207163207,13
All,40+,71,safe,4.208683473389356,14
All,40+,53,safe,2.5450292397660816,18
All,40+,376,safe,4.70525649873476,12
All,40+,61,safe,4.033028699695366,15
All,40+,205,safe,4.138246256667309,13
All,40+,113,safe,4.305583305583307,13
All,40+,304,safe,5.7248677248677255,10
All,40+,324,safe,5.550635402609087,20
All,40+,33,safe,4.9827575474634305,17
All,40+,32,safe,4.576467445952741,16
All,40+,137,safe,4.703690536043478,8
All,40+,329,safe,3.234166196122718,10
All,40+,265,safe,6.420808966861599,15
All,40+,226,safe,6.01010101010101,11
All,40+,285,safe,4.427342129548013,22
All,40+,66,safe,3.5012712068633123,14
All,40+,353,safe,3.8111111111111113,16
All,40+,303,safe,4.730463128012147,17
All,40+,129,safe,3.1009158440508555,13
All,40+,333,safe,5.407976765585461,14
All,40+,20,safe,3.209852845072317,23
All,40+,87,safe,5.872260015117158,18
All,40+,310,safe,3.9957370025304804,21
All,40+,345,safe,4.604728345079223,19
All,40+,115,safe,6.629326147708502,16
All,40+,156,safe,5.699541713430602,11
All,40+,253,safe,6.3559218559218555,8
All,40+,202,safe,5.158730158730159,9
All,40+,117,safe,4.450782627865961,10
All,40+,188,safe,2.510382413835099,12
All,40+,259,safe,4.523412698412699,16
All,40+,211,safe,6.114081996434937,11
All,40+,245,safe,4.318910256410257,22
All,40+,155,safe,4.640396547635072,23
All,40+,260,safe,4.4317810457516345,16
All,40+,153,safe,3.9418362531163718,19
All,40+,1,safe,3.614896214896215,13
All,40+,197,safe,4.57891791444423,18
All,40+,263,safe,5.782301032301032,13
All,40+,266,safe,4.570760233918129,16
All,40+,34,safe,4.056926189279131,13
All,40+,136,safe,3.440510107176774,9
All,40+,269,safe,4.3346216691804935,13
All,40+,341,safe,4.157763532763533,21
All,40+,391,safe,5.159812999273784,17
All,40+,40,safe,4.7159215053951895,14
All,40+,154,safe,4.485365892688548,13
All,40+,41,safe,4.3026759961744485,24
All,40+,102,safe,5.956009369052847,11
All,40+,24,safe,4.623988484282602,14
All,40+,394,safe,4.753968253968254,8
All,40+,280,safe,4.71215037972004,13
All,40+,49,safe,5.723905723905724,9
All,40+,318,safe,5.651266647009682,14
All,40+,75,safe,4.994152046783626,18
All,40+,298,safe,4.273851294903927,17
All,40+,218,safe,3.27950962415801,24
All,40+,29,safe,4.214121895281315,20
All,40+,65,safe,3.7817080723427474,20
All,40+,158,safe,5.914058889549086,11
All,40+,160,safe,4.4495339780427505,19
All,40+,23,safe,3.31449013949014,18
All,40+,166,safe,6.68801127063511,25
All,40+,306,safe,5.860009815892169,13
All,40+,177,safe,4.724161255411255,16
All,40+,96,safe,5.620785167418294,17
All,40+,204,safe,2.9131313131313132,12
All,40+,225,safe,3.915632028789924,15
All,40+,22,safe,4.333887369930664,16
All,40+,139,safe,5.481481481481482,9
All,40+,239,safe,4.897469088645559,15
All,40+,356,safe,5.0787066963537555,13
All,40+,175,safe,4.958768763915823,17
All,40+,92,safe,5.319852941176471,9
All,40+,81,safe,4.409220409220409,10
All,40+,36,safe,3.595598158291657,12
All,40+,172,safe,2.1068160597572367,15
All,40+,27,safe,2.165032679738562,10
All,40+,362,safe,5.802340136834461,17
All,40+,372,safe,4.371420790538438,18
All,40+,220,safe,4.914964302219204,18
All,40+,46,safe,5.7097829863825735,19
All,40+,343,safe,4.095423744546552,14
All,40+,147,safe,4.974786324786326,15
All,40+,358,safe,3.599970291146762,8
All,40+,151,safe,4.192561580719476,22
All,40+,97,safe,6.329075064369182,15
All,40+,199,safe,3.2608372783811386,19
All,40+,86,safe,4.170751633986928,16
All,40+,228,safe,4.405653324131586,21
All,40+,216,safe,3.703703703703704,9
All,40+,294,safe,3.386217948717949,16
All,40+,135,safe,4.927884615384616,12
All,40+,279,safe,4.864526598272729,13
All,40+,231,safe,6.082646982646982,13
All,40+,116,safe,4.330808080808081,11
All,40+,256,safe,4.3098613804496155,14
All,40+,281,safe,4.068591617933723,16
All,40+,15,safe,2.98378745437569,11
All,40+,184,safe,3.829136141636142,18
All,40+,127,safe,2.7670825906120022,6
All,40+,250,safe,3.7376719576719575,18
All,40+,339,safe,5.017887205387205,12
All,40+,88,safe,4.222076023391813,15
All,40+,335,safe,4.1230158730158735,7
All,40+,369,safe,5.226719576719577,14
All,40+,355,safe,4.469049469049469,12
All,40+,143,safe,5.279420315134601,20
All,40+,255,safe,4.09985567551357,16
All,40+,357,safe,6.158742444346159,16
