country,age_group_ahi_3_remapped,Image,Question,Score,Num_comparisons
All,40-49 x middle,305,safe,5.833333333333334,6
All,40-49 x middle,45,safe,7.916666666666667,4
All,40-49 x middle,262,safe,2.916666666666667,4
All,40-49 x middle,80,safe,7.083333333333334,4
All,40-49 x middle,35,safe,4.722222222222222,4
All,40-49 x middle,235,safe,5.833333333333334,4
All,40-49 x middle,313,safe,4.166666666666667,4
All,40-49 x middle,41,safe,5.740740740740741,6
All,40-49 x middle,129,safe,2.430555555555556,4
All,40-49 x middle,310,safe,2.3333333333333335,5
All,40-49 x middle,274,safe,6.666666666666667,4
All,40-49 x middle,175,safe,4.666666666666667,5
All,40-49 x middle,272,safe,3.3333333333333335,4
All,40-49 x middle,265,safe,9.166666666666668,4
All,40-49 x middle,20,safe,1.851851851851852,6
All,40-49 x middle,48,safe,6.666666666666667,4
All,40-49 x middle,98,safe,3.3333333333333335,4
All,40-49 x middle,338,safe,6.666666666666667,4
All,40-49 x middle,197,safe,5.833333333333334,4
All,40-49 x middle,398,safe,4.166666666666667,4
All,40-49 x middle,316,safe,3.3333333333333335,4
All,40-49 x middle,18,safe,1.6666666666666667,4
All,40-49 x middle,292,safe,5.0,4
All,40-49 x middle,233,safe,2.5,4
All,40-49 x middle,123,safe,5.555555555555555,4
All,40-49 x middle,269,safe,5.666666666666667,5
All,40-49 x middle,62,safe,2.407407407407408,5
All,40-49 x middle,296,safe,6.666666666666667,4
All,40-49 x middle,399,safe,5.0,4
All,40-49 x middle,13,lively,1.6666666666666667,4
All,40-49 x middle,24,lively,3.8888888888888893,6
All,40-49 x middle,280,lively,3.3333333333333335,5
All,40-49 x middle,158,lively,1.9444444444444446,4
All,40-49 x middle,342,lively,5.833333333333334,4
All,40-49 x middle,350,lively,8.333333333333334,4
All,40-49 x middle,172,lively,2.0833333333333335,4
All,40-49 x middle,202,lively,7.083333333333334,4
All,40-49 x middle,86,lively,3.444444444444444,5
All,40-49 x middle,272,lively,4.166666666666667,4
All,40-49 x middle,173,lively,5.833333333333334,4
All,40-49 x middle,131,lively,5.833333333333334,4
All,40-49 x middle,114,lively,5.833333333333334,4
All,40-49 x middle,331,lively,4.166666666666667,4
All,40-49 x middle,105,lively,3.3333333333333335,4
All,40-49 x middle,320,lively,8.222222222222223,4
All,40-49 x middle,287,lively,1.6666666666666667,4
All,40-49 x middle,294,lively,4.666666666666667,5
All,40-49 x middle,263,lively,1.6666666666666667,4
All,40-49 x middle,239,lively,4.861111111111111,4
All,40-49 x middle,305,boring,4.166666666666667,4
All,40-49 x middle,11,boring,4.722222222222222,4
All,40-49 x middle,328,boring,5.833333333333334,4
All,40-49 x middle,120,boring,4.166666666666667,4
All,40-49 x middle,161,boring,4.166666666666667,4
All,40-49 x middle,350,boring,3.3333333333333335,5
All,40-49 x middle,144,boring,6.388888888888888,4
All,40-49 x middle,323,boring,5.0,4
All,40-49 x middle,70,boring,4.166666666666667,6
All,40-49 x middle,149,boring,6.111111111111111,4
All,40-49 x middle,389,boring,7.083333333333334,5
All,40-49 x middle,281,boring,5.0,4
All,40-49 x middle,131,boring,3.8888888888888893,4
All,40-49 x middle,315,boring,3.3333333333333335,4
All,40-49 x middle,112,boring,6.944444444444444,4
All,40-49 x middle,286,boring,6.388888888888888,4
All,40-49 x middle,140,boring,4.722222222222222,4
All,40-49 x middle,239,boring,1.6666666666666667,4
All,40-49 x middle,169,wealthy,2.5,4
All,40-49 x middle,313,wealthy,5.833333333333334,4
All,40-49 x middle,326,wealthy,5.0,4
All,40-49 x middle,280,wealthy,6.208333333333334,5
All,40-49 x middle,49,wealthy,6.944444444444444,4
All,40-49 x middle,29,wealthy,2.916666666666667,4
All,40-49 x middle,23,wealthy,5.555555555555555,4
All,40-49 x middle,68,wealthy,4.444444444444445,4
All,40-49 x middle,99,wealthy,2.0833333333333335,4
All,40-49 x middle,350,wealthy,4.166666666666667,4
All,40-49 x middle,357,wealthy,3.3333333333333335,4
All,40-49 x middle,389,wealthy,7.222222222222223,4
All,40-49 x middle,238,wealthy,5.0,4
All,40-49 x middle,153,wealthy,3.1944444444444446,4
All,40-49 x middle,190,wealthy,3.8888888888888893,4
All,40-49 x middle,134,wealthy,6.111111111111112,4
All,40-49 x middle,195,wealthy,1.6666666666666667,4
All,40-49 x middle,233,wealthy,4.166666666666667,4
All,40-49 x middle,82,wealthy,2.5,4
All,40-49 x middle,380,depressing,1.3888888888888893,4
All,40-49 x middle,169,depressing,4.444444444444445,4
All,40-49 x middle,381,depressing,4.166666666666667,4
All,40-49 x middle,64,depressing,3.8888888888888893,6
All,40-49 x middle,150,depressing,4.000000000000001,5
All,40-49 x middle,161,depressing,3.916666666666667,6
All,40-49 x middle,318,depressing,3.3333333333333335,4
All,40-49 x middle,158,depressing,7.083333333333334,4
All,40-49 x middle,350,depressing,1.3333333333333335,5
All,40-49 x middle,56,depressing,3.1666666666666665,5
All,40-49 x middle,303,depressing,4.166666666666667,4
All,40-49 x middle,70,depressing,5.833333333333334,4
All,40-49 x middle,210,depressing,3.666666666666667,5
All,40-49 x middle,285,depressing,1.7592592592592593,6
All,40-49 x middle,355,depressing,3.3333333333333335,5
All,40-49 x middle,15,depressing,5.833333333333334,4
All,40-49 x middle,114,depressing,5.833333333333334,5
All,40-49 x middle,344,depressing,3.666666666666667,5
All,40-49 x middle,180,depressing,6.666666666666667,4
All,40-49 x middle,270,depressing,7.222222222222222,6
All,40-49 x middle,366,depressing,2.777777777777778,4
All,40-49 x middle,271,depressing,2.5925925925925926,6
All,40-49 x middle,170,depressing,5.0,4
All,40-49 x middle,295,depressing,5.833333333333334,4
All,40-49 x middle,387,depressing,2.5,5
All,40-49 x middle,253,depressing,5.833333333333334,4
All,40-49 x middle,377,depressing,3.75,4
All,40-49 x middle,162,depressing,4.166666666666667,4
All,40-49 x middle,231,depressing,5.0,4
All,40-49 x middle,146,depressing,5.555555555555555,6
All,40-49 x middle,84,depressing,8.333333333333334,4
All,40-49 x middle,277,beautiful,2.361111111111111,5
All,40-49 x middle,42,beautiful,4.166666666666667,4
