country,age_group,Image,Question,Score,Num_comparisons
All,40-49,203,safe,4.166666666666667,4
All,40-49,305,safe,5.357142857142858,6
All,40-49,45,safe,5.486111111111112,7
All,40-49,380,safe,1.8981481481481481,4
All,40-49,277,safe,1.6666666666666667,4
All,40-49,262,safe,4.236111111111112,8
All,40-49,69,safe,1.8650793650793656,4
All,40-49,83,safe,1.6666666666666667,4
All,40-49,11,safe,4.583333333333334,4
All,40-49,85,safe,4.2592592592592595,6
All,40-49,328,safe,6.916666666666668,4
All,40-49,340,safe,5.976190476190476,4
All,40-49,223,safe,4.642857142857143,6
All,40-49,120,safe,5.957407407407408,9
All,40-49,58,safe,4.071428571428572,5
All,40-49,42,safe,3.8888888888888884,6
All,40-49,381,safe,3.7962962962962963,4
All,40-49,64,safe,5.346320346320347,4
All,40-49,80,safe,5.472222222222222,6
All,40-49,176,safe,4.305555555555556,4
All,40-49,67,safe,4.791666666666667,4
All,40-49,217,safe,5.0476190476190474,4
All,40-49,35,safe,3.6759259259259265,9
All,40-49,161,safe,2.851851851851852,6
All,40-49,348,safe,5.111111111111111,4
All,40-49,100,safe,5.238095238095238,7
All,40-49,16,safe,1.5079365079365081,7
All,40-49,219,safe,4.186507936507937,7
All,40-49,332,safe,5.583333333333334,4
All,40-49,44,safe,1.7500000000000002,4
All,40-49,308,safe,5.333333333333334,5
All,40-49,5,safe,3.0,5
All,40-49,319,safe,1.9142857142857144,7
All,40-49,326,safe,3.8862433862433865,5
All,40-49,119,safe,2.1212121212121215,6
All,40-49,331,safe,7.264957264957265,8
All,40-49,286,safe,5.137566137566138,10
All,40-49,302,safe,4.185185185185185,5
All,40-49,241,safe,4.166666666666667,4
All,40-49,337,safe,5.0,4
All,40-49,10,safe,5.416666666666667,4
All,40-49,185,safe,3.058531746031746,5
All,40-49,4,safe,3.987103174603175,8
All,40-49,124,safe,5.1518402232687945,13
All,40-49,78,safe,7.361111111111111,4
All,40-49,312,safe,6.222222222222222,5
All,40-49,252,safe,2.5,4
All,40-49,125,safe,3.3333333333333335,4
All,40-49,159,safe,5.083333333333334,5
All,40-49,38,safe,5.12962962962963,6
All,40-49,178,safe,5.063131313131314,6
All,40-49,82,safe,3.833333333333333,6
All,40-49,235,safe,3.281746031746032,9
All,40-49,212,safe,4.000000000000001,5
All,40-49,301,safe,5.291666666666667,5
All,40-49,48,safe,6.828703703703702,6
All,40-49,194,safe,3.8611111111111116,8
All,40-49,93,safe,4.166666666666667,6
All,40-49,363,safe,7.407407407407408,6
All,40-49,317,safe,6.136363636363637,11
All,40-49,391,safe,4.694444444444445,6
All,40-49,40,safe,4.480158730158731,5
All,40-49,313,safe,4.967592592592593,8
All,40-49,41,safe,4.299382716049383,9
All,40-49,24,safe,3.273809523809524,4
All,40-49,309,safe,3.6904761904761907,4
All,40-49,280,safe,6.444444444444445,5
All,40-49,318,safe,5.204906204906205,10
All,40-49,75,safe,5.06031746031746,7
All,40-49,392,safe,6.388888888888888,4
All,40-49,298,safe,5.793650793650794,6
All,40-49,218,safe,2.2500000000000004,5
All,40-49,29,safe,2.8571428571428577,7
All,40-49,65,safe,2.7222222222222223,6
All,40-49,160,safe,5.477777777777779,10
All,40-49,166,safe,6.765873015873016,7
All,40-49,306,safe,6.153439153439154,6
All,40-49,342,safe,5.777777777777779,4
All,40-49,68,safe,3.6309523809523814,4
All,40-49,96,safe,6.730769230769231,4
All,40-49,279,safe,3.6111111111111116,4
All,40-49,231,safe,6.53968253968254,5
All,40-49,256,safe,4.4444444444444455,4
All,40-49,259,safe,4.166666666666667,4
All,40-49,281,safe,4.595679012345679,9
All,40-49,170,safe,4.111111111111112,4
All,40-49,184,safe,2.2962962962962963,5
All,40-49,250,safe,2.7777777777777777,6
All,40-49,339,safe,6.666666666666667,4
All,40-49,88,safe,2.666666666666667,4
All,40-49,355,safe,5.0,4
All,40-49,143,safe,6.537037037037036,9
All,40-49,357,safe,5.757575757575758,4
All,40-49,324,safe,6.261904761904762,5
All,40-49,310,safe,3.703703703703704,9
All,40-49,377,safe,4.185185185185185,10
All,40-49,118,safe,3.3333333333333335,4
All,40-49,344,safe,6.658730158730159,7
All,40-49,163,safe,5.787037037037037,4
All,40-49,99,safe,4.809523809523809,5
All,40-49,129,safe,3.2791005291005293,5
All,40-49,51,safe,5.198412698412699,4
All,40-49,350,safe,6.190476190476191,6
All,40-49,336,safe,6.777777777777778,5
All,40-49,155,safe,5.902777777777779,8
All,40-49,274,safe,5.5,7
All,40-49,175,safe,3.703703703703704,6
All,40-49,144,safe,2.453703703703704,6
All,40-49,362,safe,6.6190476190476195,7
All,40-49,46,safe,6.076388888888888,8
All,40-49,349,safe,6.083333333333334,6
All,40-49,334,safe,3.833333333333333,6
All,40-49,56,safe,4.0,5
All,40-49,188,safe,3.448372615039282,4
All,40-49,323,safe,3.9351851851851856,6
All,40-49,258,safe,5.027777777777778,6
All,40-49,303,safe,4.398148148148148,9
All,40-49,229,safe,2.2222222222222228,6
All,40-49,364,safe,5.347222222222222,8
All,40-49,190,safe,4.133838383838384,6
All,40-49,106,safe,5.912698412698413,4
All,40-49,400,safe,4.0,5
All,40-49,167,safe,7.083333333333334,5
All,40-49,314,safe,6.875,5
All,40-49,248,safe,5.2592592592592595,5
All,40-49,225,safe,5.0,4
All,40-49,6,safe,5.333333333333334,5
All,40-49,50,safe,1.6666666666666667,4
All,40-49,181,safe,5.515873015873017,4
All,40-49,98,safe,2.1944444444444446,6
All,40-49,249,safe,7.424242424242426,4
All,40-49,330,safe,3.5119047619047623,4
All,40-49,213,safe,3.3333333333333335,4
All,40-49,86,safe,5.462962962962963,6
All,40-49,352,safe,4.2592592592592595,6
All,40-49,393,safe,5.462962962962963,4
All,40-49,382,safe,2.0462962962962967,8
All,40-49,236,safe,3.7152777777777786,8
All,40-49,272,safe,3.6190476190476195,10
All,40-49,179,safe,4.652777777777778,8
All,40-49,285,safe,4.666666666666667,5
All,40-49,265,safe,6.527777777777779,6
All,40-49,341,safe,4.861111111111111,7
All,40-49,121,safe,5.111111111111111,6
All,40-49,222,safe,7.5,4
All,40-49,376,safe,1.6666666666666667,4
All,40-49,54,safe,0.6666666666666665,5
All,40-49,149,safe,1.9682539682539684,6
All,40-49,20,safe,1.7735690235690231,11
All,40-49,267,safe,5.902777777777778,8
All,40-49,356,safe,4.583333333333334,4
All,40-49,61,safe,2.4629629629629632,5
All,40-49,373,safe,5.111111111111111,5
All,40-49,26,safe,4.0,4
All,40-49,297,safe,3.8055555555555554,5
All,40-49,31,safe,3.6111111111111116,8
All,40-49,91,safe,0.0,4
All,40-49,268,safe,7.037037037037037,5
All,40-49,384,safe,4.811111111111112,10
All,40-49,107,safe,3.3333333333333335,4
All,40-49,62,safe,1.8306878306878305,7
All,40-49,151,safe,4.595238095238096,7
All,40-49,135,safe,4.305555555555555,6
All,40-49,105,safe,3.5833333333333335,5
All,40-49,316,safe,4.992063492063492,10
All,40-49,109,safe,6.5,4
All,40-49,66,safe,2.0991161616161618,8
All,40-49,271,safe,3.8888888888888893,8
All,40-49,290,safe,6.388888888888888,4
All,40-49,1,safe,3.821428571428571,5
All,40-49,152,safe,4.000000000000001,5
All,40-49,115,safe,6.203703703703705,6
All,40-49,291,safe,3.392857142857143,5
All,40-49,351,safe,4.303571428571429,7
All,40-49,39,safe,3.3333333333333335,5
All,40-49,63,safe,3.814814814814815,5
All,40-49,284,safe,4.642857142857143,4
All,40-49,128,safe,3.3333333333333335,5
All,40-49,390,safe,5.083333333333333,9
All,40-49,322,safe,5.904761904761905,5
All,40-49,95,safe,3.75,8
All,40-49,71,safe,3.4285714285714284,7
All,40-49,153,safe,1.9930555555555556,6
All,40-49,365,safe,5.833333333333334,4
All,40-49,22,safe,2.7651515151515156,4
All,40-49,228,safe,5.116341991341992,7
All,40-49,338,safe,5.496031746031746,8
All,40-49,197,safe,5.381944444444445,8
