country,gender_age_group_ahi_3_remapped,Image,Question,Score,Num_comparisons
All,female x 40-49 x middle,305,safe,5.833333333333334,4
All,female x 40-49 x middle,45,safe,7.916666666666667,4
All,female x 40-49 x middle,129,safe,2.916666666666667,4
All,female x 40-49 x middle,310,safe,2.5,4
All,female x 40-49 x middle,41,safe,5.740740740740741,6
All,female x 40-49 x middle,24,lively,4.666666666666667,5
All,female x 40-49 x middle,328,boring,5.833333333333334,4
All,female x 40-49 x middle,286,boring,6.388888888888888,4
All,female x 40-49 x middle,23,wealthy,5.0,4
All,female x 40-49 x middle,64,depressing,4.666666666666667,5
All,female x 40-49 x middle,56,depressing,4.0,5
All,female x 40-49 x middle,270,depressing,10.0,4
All,female x 40-49 x middle,355,depressing,3.3333333333333335,4
All,female x 40-49 x middle,84,depressing,8.333333333333334,4
All,female x 40-49 x middle,107,beautiful,2.0833333333333335,4
All,female x 40-49 x middle,192,beautiful,5.833333333333334,4
All,female x 40-49 x middle,42,live nearby,5.0,4
All,female x 40-49 x middle,310,live nearby,3.444444444444444,5
All,female x 40-49 x middle,383,live nearby,8.333333333333334,4
All,female x 40-49 x middle,56,live nearby,5.0,4
All,female x 40-49 x middle,199,live nearby,5.0,4
All,female x 40-49 x middle,278,cycle,5.888888888888889,5
All,female x 40-49 x middle,258,cycle,3.3333333333333335,4
All,female x 40-49 x middle,266,cycle,5.0,4
All,female x 40-49 x middle,208,cycle,1.8055555555555556,6
All,female x 40-49 x middle,321,cycle,4.166666666666667,4
All,female x 40-49 x middle,328,walk,6.666666666666667,4
All,female x 40-49 x middle,157,green,8.148148148148149,4
All,female x 40-49 x bottom,331,safe,7.870370370370371,4
All,female x 40-49 x bottom,286,safe,6.666666666666667,4
All,female x 40-49 x bottom,124,safe,5.833333333333334,4
All,female x 40-49 x bottom,317,safe,5.833333333333334,4
All,female x 40-49 x bottom,334,safe,1.3888888888888893,4
All,female x 40-49 x bottom,375,safe,5.555555555555555,4
All,female x 40-49 x bottom,199,safe,1.6666666666666667,4
All,female x 40-49 x bottom,202,lively,6.666666666666667,4
All,female x 40-49 x bottom,54,lively,2.2222222222222228,4
All,female x 40-49 x bottom,172,lively,4.666666666666667,5
All,female x 40-49 x bottom,338,lively,3.3333333333333335,4
All,female x 40-49 x bottom,42,wealthy,1.6666666666666667,4
All,female x 40-49 x bottom,256,wealthy,1.6666666666666667,4
All,female x 40-49 x bottom,337,depressing,3.3333333333333335,4
All,female x 40-49 x bottom,278,depressing,1.6666666666666667,4
