country,gender_age_group,Image,Question,Score,Num_comparisons
All,female x 40-49,305,safe,5.277777777777779,4
All,female x 40-49,45,safe,7.916666666666667,5
All,female x 40-49,120,safe,5.416666666666667,4
All,female x 40-49,42,safe,3.3333333333333335,4
All,female x 40-49,35,safe,3.3333333333333335,5
All,female x 40-49,16,safe,2.5,4
All,female x 40-49,5,safe,5.0,4
All,female x 40-49,326,safe,2.962962962962963,4
All,female x 40-49,331,safe,7.375661375661377,6
All,female x 40-49,286,safe,6.111111111111111,8
All,female x 40-49,124,safe,5.138888888888888,7
All,female x 40-49,38,safe,6.833333333333333,4
All,female x 40-49,178,safe,4.740740740740741,5
All,female x 40-49,82,safe,4.0,4
All,female x 40-49,93,safe,5.595238095238096,4
All,female x 40-49,317,safe,5.851851851851852,9
All,female x 40-49,256,safe,4.055555555555555,4
All,female x 40-49,184,safe,2.5,4
All,female x 40-49,250,safe,3.3333333333333335,4
All,female x 40-49,357,safe,6.666666666666667,4
All,female x 40-49,324,safe,6.222222222222222,5
All,female x 40-49,310,safe,2.666666666666667,5
All,female x 40-49,344,safe,7.407407407407408,4
All,female x 40-49,99,safe,5.416666666666667,4
All,female x 40-49,129,safe,2.986111111111111,4
All,female x 40-49,350,safe,7.083333333333334,4
All,female x 40-49,274,safe,6.75,5
All,female x 40-49,144,safe,3.703703703703704,6
All,female x 40-49,362,safe,8.166666666666668,5
All,female x 40-49,334,safe,1.6666666666666667,4
All,female x 40-49,258,safe,4.416666666666668,5
All,female x 40-49,303,safe,4.7023809523809526,7
All,female x 40-49,229,safe,2.5,4
All,female x 40-49,29,safe,2.5,4
All,female x 40-49,31,safe,5.0,4
All,female x 40-49,384,safe,4.2592592592592595,6
All,female x 40-49,62,safe,1.527777777777778,4
All,female x 40-49,316,safe,4.166666666666667,4
All,female x 40-49,95,safe,3.3333333333333335,4
All,female x 40-49,179,safe,5.0,6
All,female x 40-49,240,safe,3.055555555555556,4
All,female x 40-49,398,safe,7.037037037037037,6
All,female x 40-49,375,safe,4.736111111111112,6
All,female x 40-49,41,safe,5.396825396825397,7
All,female x 40-49,199,safe,1.3333333333333335,5
All,female x 40-49,171,safe,5.833333333333334,4
All,female x 40-49,372,safe,6.444444444444445,4
All,female x 40-49,187,safe,4.166666666666667,4
All,female x 40-49,244,safe,2.3333333333333335,5
All,female x 40-49,160,safe,5.462962962962963,6
All,female x 40-49,162,safe,3.8888888888888884,4
All,female x 40-49,182,safe,4.666666666666667,5
All,female x 40-49,166,safe,6.666666666666667,4
All,female x 40-49,386,safe,3.75,4
All,female x 40-49,313,safe,4.444444444444445,5
All,female x 40-49,66,safe,2.5,5
All,female x 40-49,264,safe,5.0,6
All,female x 40-49,390,safe,5.666666666666667,5
All,female x 40-49,382,safe,2.5,6
All,female x 40-49,271,safe,4.523809523809525,4
All,female x 40-49,132,safe,7.083333333333334,4
All,female x 40-49,272,safe,3.3333333333333335,5
All,female x 40-49,113,safe,3.3333333333333335,4
All,female x 40-49,86,safe,5.833333333333334,4
All,female x 40-49,245,safe,1.6666666666666667,4
All,female x 40-49,83,lively,1.6666666666666667,4
All,female x 40-49,169,lively,3.75,4
All,female x 40-49,58,lively,4.833333333333333,4
All,female x 40-49,176,lively,5.555555555555555,4
All,female x 40-49,331,lively,4.444444444444445,4
All,female x 40-49,286,lively,4.722222222222222,6
All,female x 40-49,114,lively,4.0317460317460325,7
All,female x 40-49,312,lively,8.333333333333334,4
All,female x 40-49,159,lively,5.0,4
All,female x 40-49,111,lively,1.25,4
All,female x 40-49,317,lively,3.3333333333333335,5
All,female x 40-49,231,lively,7.888888888888889,5
All,female x 40-49,256,lively,2.666666666666667,5
All,female x 40-49,15,lively,7.083333333333334,4
All,female x 40-49,250,lively,7.916666666666667,4
All,female x 40-49,339,lively,4.666666666666667,6
All,female x 40-49,369,lively,5.833333333333334,4
All,female x 40-49,253,lively,3.611111111111111,4
All,female x 40-49,336,lively,5.0,4
All,female x 40-49,274,lively,5.0,4
All,female x 40-49,362,lively,6.666666666666667,4
All,female x 40-49,145,lively,4.833333333333333,5
All,female x 40-49,229,lively,2.0,5
All,female x 40-49,70,lively,5.611111111111112,5
All,female x 40-49,172,lively,4.841269841269841,7
All,female x 40-49,202,lively,5.912698412698413,7
All,female x 40-49,106,lively,2.962962962962963,5
All,female x 40-49,342,lively,7.111111111111112,4
All,female x 40-49,6,lively,2.2222222222222228,4
All,female x 40-49,373,lively,3.3333333333333335,6
All,female x 40-49,91,lively,5.0,4
All,female x 40-49,135,lively,7.055555555555556,5
All,female x 40-49,389,lively,2.75,5
All,female x 40-49,156,lively,4.444444444444445,4
All,female x 40-49,254,lively,7.817460317460316,4
All,female x 40-49,81,lively,3.2592592592592595,5
All,female x 40-49,338,lively,5.222222222222222,5
All,female x 40-49,209,lively,2.5,4
All,female x 40-49,18,lively,1.25,4
All,female x 40-49,112,lively,5.0,4
All,female x 40-49,321,lively,4.722222222222222,4
All,female x 40-49,74,lively,1.7592592592592597,4
All,female x 40-49,89,lively,3.703703703703704,6
All,female x 40-49,54,lively,2.2222222222222228,6
All,female x 40-49,34,lively,4.166666666666667,4
All,female x 40-49,24,lively,4.666666666666667,5
All,female x 40-49,239,lively,4.666666666666667,5
All,female x 40-49,390,lively,7.083333333333334,4
