country,gender_ahi_3_remapped,Image,Question,Score,Num_comparisons
All,female x middle,203,safe,6.5740740740740735,6
All,female x middle,305,safe,5.618055555555556,10
All,female x middle,276,safe,4.000000000000001,5
All,female x middle,45,safe,7.126839826839827,7
All,female x middle,380,safe,6.095238095238095,7
All,female x middle,278,safe,3.3333333333333335,5
All,female x middle,69,safe,2.666666666666667,5
All,female x middle,11,safe,3.8888888888888893,6
All,female x middle,85,safe,4.583333333333334,4
All,female x middle,340,safe,8.285714285714286,5
All,female x middle,120,safe,3.6111111111111116,6
All,female x middle,58,safe,2.5833333333333335,5
All,female x middle,13,safe,5.4603174603174605,5
All,female x middle,237,safe,3.052579365079365,6
All,female x middle,176,safe,3.904761904761905,6
All,female x middle,217,safe,5.194444444444445,8
All,female x middle,348,safe,5.222222222222222,4
All,female x middle,307,safe,4.166666666666667,4
All,female x middle,73,safe,7.325396825396826,5
All,female x middle,164,safe,5.5092592592592595,8
All,female x middle,219,safe,4.444444444444445,8
All,female x middle,332,safe,1.7803030303030303,4
All,female x middle,308,safe,5.555555555555556,7
All,female x middle,206,safe,6.488095238095238,4
All,female x middle,5,safe,4.052469135802469,5
All,female x middle,326,safe,7.333333333333334,5
All,female x middle,129,safe,3.2659760874046593,10
All,female x middle,51,safe,5.339506172839506,9
All,female x middle,350,safe,5.608465608465608,7
All,female x middle,310,safe,4.62962962962963,9
All,female x middle,155,safe,4.565897065897066,11
All,female x middle,274,safe,7.638888888888888,4
All,female x middle,175,safe,5.793650793650794,7
All,female x middle,144,safe,1.880952380952381,7
All,female x middle,59,safe,3.444444444444444,5
All,female x middle,361,safe,3.3333333333333335,4
All,female x middle,362,safe,8.75,4
All,female x middle,4,safe,5.0,4
All,female x middle,383,safe,7.05357142857143,7
All,female x middle,104,safe,4.166666666666667,4
All,female x middle,334,safe,6.333333333333333,5
All,female x middle,388,safe,5.476190476190476,7
All,female x middle,188,safe,3.181216931216931,7
All,female x middle,357,safe,5.208333333333334,8
All,female x middle,303,safe,3.6759259259259265,6
All,female x middle,364,safe,5.611111111111112,5
All,female x middle,172,safe,2.1944444444444446,6
All,female x middle,147,safe,6.111111111111111,4
All,female x middle,265,safe,8.333333333333334,5
All,female x middle,77,safe,3.75,4
All,female x middle,15,safe,5.750000000000001,5
All,female x middle,137,safe,3.9141414141414144,4
All,female x middle,153,safe,2.678571428571429,4
All,female x middle,157,safe,3.5925925925925934,6
All,female x middle,322,safe,6.111111111111111,10
All,female x middle,189,safe,6.333333333333333,5
All,female x middle,165,safe,5.555555555555555,5
All,female x middle,10,safe,1.875,4
All,female x middle,324,safe,3.3333333333333335,8
All,female x middle,288,safe,7.037037037037037,4
All,female x middle,54,safe,5.416666666666667,4
All,female x middle,113,safe,3.3333333333333335,4
All,female x middle,378,safe,2.2222222222222228,5
All,female x middle,65,safe,2.638888888888889,6
All,female x middle,331,safe,4.920634920634921,7
All,female x middle,296,safe,5.833333333333334,8
