country,gender,Image,Question,Score,Num_comparisons
All,female,203,safe,4.806998556998558,14
All,female,305,safe,4.801643889879185,17
All,female,276,safe,4.049452861952862,16
All,female,45,safe,5.497939526687868,17
All,female,380,safe,6.625199419317067,13
All,female,277,safe,2.706552706552707,13
All,female,262,safe,4.779541446208112,7
All,female,278,safe,5.101686507936509,12
All,female,69,safe,4.5285818030916065,15
All,female,83,safe,3.1616161616161618,11
All,female,11,safe,3.568019943019943,13
All,female,85,safe,4.791666666666667,16
All,female,328,safe,6.111875441809653,14
All,female,340,safe,6.551857456269222,15
All,female,223,safe,4.884399551066218,10
All,female,120,safe,3.872233586519301,15
All,female,169,safe,4.805606430606431,21
All,female,58,safe,3.975808913308913,14
All,female,42,safe,3.1413398692810457,9
All,female,381,safe,4.002400886032599,12
All,female,64,safe,4.048241518829754,17
All,female,150,safe,5.376401376401376,7
All,female,80,safe,3.7541530501089326,15
All,female,13,safe,4.093253968253968,13
All,female,207,safe,6.547619047619048,7
All,female,237,safe,3.703373015873016,15
All,female,176,safe,4.049768518518519,15
All,female,67,safe,3.751782531194296,11
All,female,217,safe,5.129853650862055,16
All,female,35,safe,3.055555555555556,18
All,female,161,safe,6.134196413608179,10
All,female,348,safe,4.661950250185544,18
All,female,307,safe,3.6944444444444446,10
All,female,73,safe,6.671401515151516,11
All,female,164,safe,5.154693821973234,16
All,female,100,safe,4.848484848484849,11
All,female,16,safe,3.4891916362504602,12
All,female,219,safe,4.46067766656002,15
All,female,332,safe,4.776475939519417,14
All,female,44,safe,3.0455026455026455,9
All,female,72,safe,3.9335918710918705,9
All,female,308,safe,5.228088918878393,12
All,female,94,safe,4.786132259171476,13
All,female,206,safe,5.020202020202021,12
All,female,5,safe,4.76048026048026,21
All,female,319,safe,3.156288156288156,13
All,female,326,safe,4.335631008425127,17
All,female,119,safe,4.894442159148042,13
All,female,331,safe,5.809225217506952,16
All,female,286,safe,3.279532967032967,25
All,female,302,safe,4.516440667175962,14
All,female,241,safe,4.787187450230928,8
All,female,337,safe,3.8693281799899446,16
All,female,300,safe,2.7263939763939766,10
All,female,10,safe,5.18341680106386,15
All,female,114,safe,4.82022607022607,11
All,female,76,safe,3.8863539299394563,19
All,female,185,safe,3.7494157888894737,12
All,female,4,safe,4.0303796732368165,15
All,female,124,safe,4.942251461988304,19
All,female,78,safe,5.917250915960927,14
All,female,312,safe,4.9594017094017095,8
All,female,293,safe,4.87321320654654,11
All,female,252,safe,3.994553376906318,17
All,female,208,safe,3.152617172225016,17
All,female,125,safe,4.1910830999066295,14
All,female,159,safe,4.57977207977208,13
All,female,38,safe,5.326227013727014,15
All,female,178,safe,4.543258636788049,14
All,female,82,safe,4.205820105820106,10
All,female,52,safe,2.8703703703703702,9
All,female,235,safe,3.34004884004884,13
All,female,212,safe,5.802142302142302,15
All,female,301,safe,3.707070707070707,10
All,female,111,safe,2.705952380952381,14
All,female,48,safe,6.1502849002849,9
All,female,201,safe,1.111111111111111,5
All,female,194,safe,5.682539682539683,7
All,female,93,safe,4.368359418359419,14
All,female,363,safe,6.172619047619048,10
All,female,317,safe,4.777777777777778,20
All,female,210,safe,3.285984848484848,10
All,female,368,safe,5.491905480140774,10
All,female,86,safe,5.384906759906761,11
All,female,250,safe,4.407305657305657,16
All,female,321,safe,5.8924501424501425,8
All,female,182,safe,4.998743386243387,15
All,female,41,safe,5.310491822991823,16
All,female,322,safe,4.626190476190477,21
All,female,196,safe,4.645111832611834,11
All,female,327,safe,6.532865282865283,8
All,female,303,safe,4.329055612143848,17
All,female,136,safe,4.017857142857143,8
All,female,184,safe,3.9951112535146147,22
All,female,110,safe,2.2997835497835495,11
All,female,377,safe,4.944480356245062,14
All,female,139,safe,4.1994301994302,10
All,female,132,safe,5.563247863247864,12
All,female,154,safe,5.156325156325156,11
All,female,313,safe,4.849512755762756,16
All,female,342,safe,3.3377425044091713,7
All,female,294,safe,2.7710622710622714,14
All,female,141,safe,5.522486772486772,13
All,female,63,safe,3.738458346301483,9
All,female,353,safe,4.7146464646464645,8
All,female,199,safe,4.412393162393164,16
All,female,351,safe,5.268801061094294,19
All,female,190,safe,2.5297017797017802,9
All,female,153,safe,3.7273342670401495,14
All,female,338,safe,5.366809116809117,12
All,female,288,safe,4.880799755799756,8
All,female,370,safe,5.202991452991453,12
All,female,234,safe,5.33357100415924,17
All,female,379,safe,4.6060363247863245,13
All,female,55,safe,5.357900510222491,17
All,female,266,safe,4.0536831995165326,18
All,female,378,safe,3.9606532356532362,12
All,female,263,safe,5.463459742871508,13
All,female,109,safe,4.229886585149743,17
All,female,355,safe,5.204961704961705,11
All,female,28,safe,2.855040021706689,18
All,female,101,safe,5.253696920363588,13
All,female,384,safe,4.992640692640692,12
All,female,102,safe,3.2279811691576397,13
All,female,97,safe,4.141414141414142,11
All,female,386,safe,4.496779536253221,10
All,female,187,safe,4.431243550051599,20
All,female,53,safe,2.3938156571670506,17
All,female,244,safe,3.678705034645437,9
All,female,66,safe,4.467047930283225,15
All,female,183,safe,4.397451963241438,7
All,female,186,safe,6.0174825174825175,15
All,female,3,safe,3.528878528878529,13
All,female,315,safe,3.8576238576238575,15
All,female,6,safe,3.136402387041773,10
All,female,204,safe,3.207070707070707,11
All,female,68,safe,4.478253228253228,11
All,female,198,safe,4.400132275132275,10
All,female,26,safe,4.540402365092768,14
All,female,226,safe,4.593915343915344,12
All,female,87,safe,6.030766327510025,16
All,female,228,safe,5.648018648018648,13
All,female,357,safe,5.817592592592592,20
All,female,371,safe,6.0606060606060606,10
All,female,157,safe,5.423458485958486,13
All,female,224,safe,3.611111111111111,4
All,female,23,safe,4.321428571428571,12
All,female,334,safe,4.715741978609626,16
All,female,15,safe,3.5850032320620557,13
All,female,24,safe,4.897851546458358,11
All,female,367,safe,5.467032967032967,13
All,female,50,safe,2.844519859225742,13
All,female,306,safe,4.283263305322129,14
All,female,291,safe,4.486111111111111,11
All,female,265,safe,6.015432098765432,9
All,female,309,safe,5.44232205702794,13
All,female,253,safe,6.595598845598846,9
All,female,127,safe,3.5638888888888887,10
All,female,65,safe,3.0396825396825395,16
All,female,193,safe,4.6230158730158735,6
All,female,177,safe,4.025012569130216,13
All,female,389,safe,7.690043290043291,11
All,female,400,safe,5.7203907203907205,7
All,female,216,safe,3.729390616645519,8
All,female,333,safe,5.765109073932603,11
All,female,138,safe,4.729837020278198,16
All,female,325,safe,4.106200897867565,11
All,female,179,safe,4.45679012345679,10
All,female,166,safe,6.590557590557591,18
All,female,354,safe,6.64918414918415,7
All,female,329,safe,2.864683600713013,10
All,female,387,safe,2.916666666666667,8
All,female,188,safe,3.154560609668969,13
All,female,163,safe,5.663466027436616,15
All,female,382,safe,4.036301389242566,11
All,female,117,safe,3.0208333333333335,7
All,female,374,safe,4.073260073260074,10
All,female,200,safe,4.67433954933955,14
All,female,40,safe,3.983312983312984,13
All,female,397,safe,5.50952380952381,14
All,female,249,safe,5.234848484848485,10
All,female,33,safe,4.522838272838273,11
All,female,54,safe,4.4425366300366305,7
All,female,298,safe,4.680211899574646,9
All,female,215,safe,4.198412698412699,9
All,female,359,safe,5.301519468186135,8
All,female,391,safe,4.771062271062271,7
All,female,393,safe,6.3556786350904,10
All,female,222,safe,3.6640211640211646,7
All,female,175,safe,5.462042224297127,17
All,female,39,safe,3.9444444444444446,10
All,female,231,safe,5.692460317460317,14
All,female,255,safe,3.9141414141414144,15
All,female,18,safe,2.542989417989418,7
All,female,168,safe,4.006172839506172,14
All,female,43,safe,2.4825578379499946,10
All,female,287,safe,3.7339961625675917,20
All,female,9,safe,5.740648626065292,20
All,female,316,safe,3.8929499675113717,16
All,female,279,safe,3.7844860453556106,14
All,female,116,safe,4.110297110297111,13
All,female,256,safe,4.308032708032709,14
All,female,259,safe,4.650793650793651,9
All,female,281,safe,4.805911590225316,17
All,female,232,safe,6.371296296296296,10
All,female,170,safe,5.595238095238096,7
All,female,358,safe,4.533404095904096,10
All,female,339,safe,3.525493025493026,10
All,female,88,safe,5.549382716049383,9
All,female,335,safe,5.611815998329156,14
All,female,369,safe,5.386904761904762,14
All,female,143,safe,4.994810744810745,15
All,female,324,safe,4.873972323972325,14
All,female,310,safe,5.076671694318753,17
All,female,60,safe,2.5035315561631353,11
All,female,173,safe,4.930555555555555,6
All,female,165,safe,5.511864678531346,12
All,female,385,safe,6.962797986327399,11
All,female,118,safe,4.142857142857144,14
All,female,344,safe,5.012225723622783,15
All,female,99,safe,4.0,16
All,female,129,safe,3.695920891413219,17
All,female,51,safe,4.578775369797041,18
All,female,350,safe,4.8842592592592595,16
All,female,336,safe,5.283475783475783,10
All,female,122,safe,4.579233815624425,17
All,female,155,safe,4.253921568627452,23
All,female,92,safe,5.166666666666667,6
All,female,274,safe,6.25,6
All,female,144,safe,3.6701771485932984,23
All,female,59,safe,4.7023420479302835,20
All,female,361,safe,3.5889249639249643,15
All,female,362,safe,4.936117123617124,11
All,female,46,safe,5.091991341991342,11
All,female,349,safe,7.087496109554934,9
All,female,383,safe,6.927076474068956,19
All,female,304,safe,4.8931623931623935,14
All,female,104,safe,3.5011515717398067,15
All,female,388,safe,4.726081486951052,12
All,female,56,safe,4.306471306471307,14
All,female,145,safe,4.120879120879121,7
All,female,323,safe,4.476856476856477,11
All,female,258,safe,4.0875484164957845,11
All,female,229,safe,2.502645502645503,14
All,female,364,safe,5.166233766233767,11
All,female,70,safe,5.015033942665522,12
All,female,172,safe,2.4385057666791417,13
All,female,147,safe,5.132377698554169,15
All,female,202,safe,4.888738576238576,11
All,female,106,safe,4.014202172096909,12
All,female,261,safe,4.53591470258137,14
All,female,395,safe,3.6296296296296293,6
All,female,158,safe,4.785403050108933,12
All,female,167,safe,3.8210784313725497,15
All,female,314,safe,3.4332334332334336,11
All,female,248,safe,5.0074703074703075,14
All,female,299,safe,2.0,10
All,female,225,safe,5.169169519659715,9
All,female,189,safe,5.158234126984127,16
All,female,181,safe,4.9107142857142865,7
All,female,98,safe,4.149305555555556,8
All,female,7,safe,5.074339241005908,18
All,female,330,safe,5.36984126984127,14
All,female,19,safe,4.7554855275443515,7
All,female,29,safe,3.682515948963318,16
All,female,61,safe,1.970899470899471,7
All,female,373,safe,3.445515133015133,14
All,female,297,safe,4.510242843576177,14
All,female,31,safe,5.332153914197258,12
All,female,91,safe,3.5353535353535355,11
All,female,268,safe,4.806878306878308,5
All,female,107,safe,3.5500610500610503,7
All,female,62,safe,3.6277389277389283,14
All,female,192,safe,6.301503759398496,8
All,female,151,safe,4.58206676610038,21
All,female,135,safe,4.136283469616803,11
All,female,105,safe,2.859567901234568,9
All,female,103,safe,4.020979020979021,11
All,female,230,safe,4.511853886853887,14
All,female,346,safe,2.830209006679595,7
All,female,77,safe,4.648148148148148,10
All,female,343,safe,5.884615384615385,4
All,female,137,safe,4.624958374958376,8
All,female,131,safe,5.580973129992738,9
All,female,171,safe,6.524005756148614,15
All,female,311,safe,5.94408543683906,14
All,female,113,safe,3.0335922247686953,14
All,female,296,safe,5.47954822954823,21
All,female,180,safe,5.178571428571429,11
All,female,270,safe,5.016203703703703,10
All,female,260,safe,3.9944083694083696,16
All,female,156,safe,5.950799764350185,16
All,female,95,safe,2.499046092796093,13
All,female,36,safe,3.5280648831732426,15
All,female,254,safe,4.0622340622340625,13
All,female,242,safe,3.120336453669787,13
All,female,360,safe,4.8775641025641026,16
All,female,81,safe,4.156707490040823,9
All,female,282,safe,4.496309246309247,13
All,female,49,safe,3.874649859943977,10
All,female,240,safe,4.787574998101314,14
All,female,341,safe,4.963591963591964,13
All,female,90,safe,4.843050740109564,14
All,female,247,safe,5.844076448243116,13
All,female,30,safe,3.945987654320988,16
All,female,133,safe,5.657478324144991,11
All,female,2,safe,6.208726945569051,10
All,female,246,safe,4.4549663299663305,11
All,female,211,safe,6.690917107583774,12
All,female,392,safe,7.329531171442936,12
All,female,239,safe,3.978259394926062,13
All,female,75,safe,4.010064412238326,15
All,female,17,safe,3.2266131598838372,16
All,female,140,safe,4.402356902356903,9
All,female,130,safe,3.75943500943501,11
All,female,126,safe,3.13152533740769,11
All,female,243,safe,5.6944444444444455,12
All,female,123,safe,3.1925213675213677,16
All,female,257,safe,4.8675046201361996,18
All,female,96,safe,4.970873718358239,20
All,female,148,safe,2.777777777777778,4
All,female,195,safe,4.424569582464319,13
All,female,398,safe,5.3840141340141345,14
All,female,320,safe,6.341919191919192,8
All,female,1,safe,3.034188034188034,6
All,female,32,safe,4.5168067226890765,16
All,female,356,safe,4.85930735930736,10
All,female,134,safe,3.3338001867413634,15
All,female,365,safe,7.219449723209121,14
All,female,272,safe,4.42816432793213,14
All,female,146,safe,5.132275132275132,16
All,female,394,safe,6.409790305010893,9
All,female,366,safe,6.854166666666667,10
All,female,22,safe,2.7324675324675325,9
All,female,221,safe,4.2087542087542085,9
All,female,220,safe,4.022711969403146,14
All,female,174,safe,3.4126984126984126,6
All,female,269,safe,4.316979316979317,9
All,female,209,safe,1.8591269841269842,8
All,female,213,safe,4.6333694083694095,15
All,female,283,safe,5.9675925925925934,12
All,female,245,safe,5.555735930735931,24
All,female,71,safe,3.6293962029256144,8
All,female,20,safe,2.196703296703297,16
All,female,271,safe,4.666428641209343,18
All,female,251,safe,3.452380952380952,7
All,female,191,safe,6.902046783625732,10
All,female,14,safe,3.918425324675325,12
All,female,236,safe,4.713471713471713,14
All,female,197,safe,4.713675213675214,8
All,female,37,safe,3.6151875901875905,15
All,female,25,safe,4.196451696451696,9
All,female,12,safe,4.857306542089152,13
All,female,152,safe,4.0486827986827985,14
All,female,8,safe,2.849002849002849,13
All,female,74,safe,3.8024114774114777,10
All,female,376,safe,4.324194324194325,9
All,female,214,safe,4.165337431268805,17
All,female,115,safe,7.52292267917268,16
All,female,121,safe,6.2174324700640495,14
All,female,89,safe,3.354978354978355,7
All,female,142,safe,2.9170829170829173,7
All,female,264,safe,3.5790598290598292,12
All,female,275,safe,3.852188552188552,11
All,female,112,safe,6.609848484848485,12
All,female,21,safe,4.268086080586081,13
All,female,227,safe,4.525964231846586,9
All,female,267,safe,5.802023708033938,17
All,female,285,safe,4.2174594196653015,16
All,female,273,safe,4.03766835016835,18
All,female,347,safe,8.196654040404042,5
All,female,149,safe,3.624338624338625,6
All,female,375,safe,4.4955186354180166,19
All,female,218,safe,4.201250601250601,16
All,female,292,safe,4.414009601509602,15
All,female,318,safe,5.888492770845712,10
All,female,162,safe,5.514490340577297,20
All,female,27,safe,1.864057239057239,8
All,female,396,safe,4.447994987468672,14
All,female,295,safe,6.0,5
All,female,399,safe,5.715748371998372,18
All,female,238,safe,4.753602878602878,11
All,female,233,safe,3.7701545530492897,10
All,female,34,safe,4.080687830687832,12
All,female,372,safe,4.249289891395155,19
All,female,390,safe,5.164387464387464,18
All,female,108,safe,3.3043981481481484,12
All,female,290,safe,5.303030303030303,8
All,female,352,safe,5.301767676767677,11
All,female,79,safe,5.374542124542125,10
All,female,84,safe,5.422705314009662,13
All,female,289,safe,4.565553999377529,14
All,female,57,safe,4.299620132953467,9
All,female,284,safe,4.8236331569664905,12
All,female,128,safe,3.9580191050779288,13
All,female,47,safe,4.715330829301418,11
All,female,160,safe,4.666655795757963,15
All,female,345,safe,4.565255731922399,14
All,female,280,safe,4.0152000777000785,10
All,female,203,lively,4.889380681047348,12
All,female,305,lively,4.800274276377218,17
All,female,276,lively,4.024975242622301,12
All,female,45,lively,6.6989010989011,14
All,female,380,lively,5.784103688708952,15
All,female,277,lively,3.6096459096459097,10
All,female,262,lively,7.683239962651727,8
All,female,278,lively,5.329765913099247,9
All,female,69,lively,4.290824915824916,12
All,female,83,lively,1.7915204678362573,8
All,female,11,lively,3.0662115662115665,11
All,female,85,lively,3.0719696969696972,11
All,female,328,lively,5.481481481481482,10
All,female,340,lively,5.096535409035409,8
All,female,223,lively,5.009582780480613,7
All,female,120,lively,3.057526215614451,14
All,female,169,lively,4.496364746364747,14
All,female,58,lively,4.3612259364139065,19
All,female,42,lively,3.8024691358024696,9
All,female,381,lively,6.233766233766235,7
All,female,64,lively,4.550715488215489,10
All,female,150,lively,2.4277777777777776,10
All,female,80,lively,3.80966093685392,11
All,female,13,lively,4.825393832746774,13
All,female,207,lively,4.302846844513512,10
All,female,237,lively,4.399691358024692,15
All,female,176,lively,4.133428300094967,13
All,female,67,lively,4.718253968253968,9
All,female,217,lively,3.8972431077694236,12
All,female,35,lively,4.279560308972074,11
All,female,161,lively,4.413092917478883,19
All,female,348,lively,2.166201853701854,11
All,female,307,lively,4.700854700854701,15
All,female,73,lively,4.952897735792473,15
All,female,164,lively,4.858134920634921,14
All,female,100,lively,3.9451030451030453,14
All,female,16,lively,2.5188536953242835,13
All,female,219,lively,5.544231367760779,15
All,female,332,lively,5.43978925557873,13
All,female,44,lively,7.561122357174989,8
All,female,72,lively,4.274395055440807,14
All,female,308,lively,3.552808629279218,11
All,female,94,lively,4.477513227513228,16
