,Image,Question,Score,Num_comparisons
0,203,safe,5.321440109038416,28
1,305,safe,5.2408024620665605,29
2,276,safe,4.1758029778863115,28
3,45,safe,4.848894650876287,32
4,380,safe,6.101783728652554,30
5,277,safe,3.7763620560511586,19
6,262,safe,4.866404182005686,19
7,278,safe,5.5061338242166125,21
8,69,safe,4.249650363173325,36
9,83,safe,3.889495430727362,28
10,11,safe,4.16783823311535,27
11,85,safe,4.308267449177079,25
12,328,safe,6.463843609552006,23
13,340,safe,6.052836824291888,33
14,223,safe,5.065020621724883,28
15,120,safe,4.540076852822032,32
16,169,safe,4.409800488662716,31
17,58,safe,3.70553300521836,23
18,42,safe,3.1972400202451134,19
19,381,safe,4.7346952944175165,22
20,64,safe,4.00625239792593,33
21,150,safe,5.1887595016741415,17
22,80,safe,4.564081114805752,28
23,13,safe,4.366718819195944,31
24,207,safe,5.975046664701837,15
25,237,safe,3.9153908830632975,29
26,176,safe,4.465704280049769,28
27,67,safe,4.863482029936303,24
28,217,safe,4.911568328707179,25
29,35,safe,3.667265486405271,31
30,161,safe,4.804857322187889,26
31,348,safe,4.6310547027135565,30
32,307,safe,4.273914357247691,22
33,73,safe,5.003097018372276,22
34,164,safe,5.1056793243067755,22
35,100,safe,4.324837272933538,29
36,16,safe,3.9550184781612563,21
37,219,safe,4.49897890175668,26
38,332,safe,5.16433798492769,20
39,44,safe,4.104248320377353,22
40,72,safe,4.430078842087312,21
41,308,safe,4.456977227557765,26
42,94,safe,4.093276512884357,24
43,206,safe,4.931440829149695,24
44,5,safe,4.831434286848685,29
45,319,safe,4.352463363157786,29
46,326,safe,4.084794470324361,24
47,119,safe,4.477870328904812,29
48,331,safe,5.44896890822188,26
49,286,safe,3.5844799712136877,35
50,302,safe,5.173231673135669,27
51,241,safe,4.810874408242829,20
52,337,safe,5.002579365079365,27
53,300,safe,4.569238187464788,15
54,10,safe,4.868314928548034,30
55,114,safe,5.142261790429066,20
56,76,safe,4.305285551674693,32
